S.No,Review
1,"The camera is good at this price range
Ram could be increased to 6gb atleast
The volume button feels Kind of cheap
But at this price point you can't really complaint"
2,"At this price range every thing is very good.
Battery 🔋 not feels like 5000mh draining very fast but you know a long display and performance good enough.
When I open the box it seems like I am not who open it first . Screen has many fingerprints and screen tape have many bubbles .
And the end nice product by Motorola 👍😊"
3,"Beast :)
Leaf green color best ✅
Back camera 3.5/5✅
Front camera 5/5✅
Battery 5/5✅
Ram Booster upto 12 GB 🚀5/5 ✅
120hz refresh rate 🚀 5/5 ✅
Connectivity 5G speed 330+ mbps 5/5 ✅
Design vegan leather finish 5/5 ✅
Display 5/5✅
Sound crystal dolby 5/5 ✅
Charging 3/5 〽️"
4,Such an amazing smartphone in this price range ❤️
5,Received same day delivery. Looks good. Need to use for a week to provide experience. Camera is good. Option available to expand the ram upto 12gb
6,For the price excellent mobile and very very prompt delivery from Flipkart. Was delivered in six hours 👌👍
7,One of the best product in this price
8,Nice Phone budget segment me
9,Camera is good network issue
10,The value is in good shape
11,"Pros-
- Display is Fantastic in this Category
- Performance is Good
- Battery backup is great
- Front Camera is great and back camera is more than average
- 5g Volte works all the time with jio

Cons-
- ui feels somewhere glitter in some apps"
12,"Moto g35 5g mobile
1. Display
2. Camera
3. Design and look
4. Processor
Brilliant 👍 according to price is very good
Thank you Filpkart and seller and all the Flipkart team Thank you 🙏"
13,"First 1hour usage felt the phone is too slow.

Will update after a week of usage."
14,"I purchased this for home use

Worthy Mobile at this price

Look like a more than this price

Very attractive and happy to use

Tqq Moto and Flipkart"
15,Awesome in this price. After 8 days i write the review. Display is very nice. Battery is upto mark. 1 day backup after hard use. Performance is also good for gaming and normal tasks. Camera is good for that price. Over all good performance of moto g35. Thank you motorala.
16,"I have an iphone already and wanted to separate my Work and Personal Phones
I saw this phone and immediately knew this would be my 2nd phone
Specs and Built of 25k phone in 10k phone
So far So Good"
17,"At this price product is really good. It works fast.
My rating
Display 5/5
Camera 4/5
Speaker 5/5
Processor 5/5"
18,"The Moto G35 is a budget-friendly smartphone that offers decent performance for everyday tasks. It has a large, vibrant display, a long-lasting battery, and a capable camera system. However, the processor can be a bit slow at times, and the software support is not as long as some competitors. Overall, the Moto G35 is a solid choice for those looking for a reliable and affordable smartphone.💯💯"
19,"Best Budget 5g phone under 10k , you can definitely buy this phone"
20,This price range...it's awesome
21,"Overall a good product.
Battery is not that great may be due to 5G.
Camera is average.
RAM management is ok ok.
Performance is average.
But for 10K it's a great deal"
22,Excellent phone....love it...Orange colour is the best.
23,Fantastic phone 😍😍😍😍😍😍
